leaguePoints,rank,summonerName,wins,losses,hotStreak,veteran,freshBlood,inactive,summonerId
1553,I,John Wick IV,148,76,True,False,False,False,Y5kQu60P6Fh3ovdp5Wv_zgf4TWekgfp1hUCxgErkhWZB_eci
1544,I,SPKTRA,378,294,False,True,False,False,sX1uX5yLIxD_2RFN72Eq9FsEQVAUyEIS8U_cB_LE5bU0RX1h
1515,I,RGE Malrang,361,288,False,True,False,False,L1lRR75lmV8OsHgk0f1iadLaLVJGNtvJSmn-Xj2U8AefV0Xk9ZkQYcAx5w
1494,I,BiIly Butcher,748,661,False,True,False,False,xYeTK4KTpN3drkMQRQ8Wm1CWxLqDpXeBxU4JXuYmZ9WQcKU
1432,I,supaaaaaaaaaaaaa,674,590,False,True,False,False,H1A6RGf4ylCGNGd1mAZW7rVMh5HEA_Qi04CZbBYQM5vwa8M
1409,I,ViV SkewMond,409,328,True,True,False,False,_cWSRjB_jQpiyVqYluEfYSxzrRHkRakoS9Wa4mFz8G2PIfo
1392,I,Ttv Lathyrus,237,155,True,True,False,False,gJqchVCIIljZ6KD5SZWjm5z-csrmnyEv4YwbnodPmUQHljB7
1391,I,Tempt1,537,442,True,True,False,False,4Xv1fxSWiR_sJHwNcBBndIqMNFCydogWoIkvsMq5qHet9JE7MsVhkOhSdg
1390,I,FaithXD,200,149,False,True,False,False,xqPSXJoIcYTLDtm3FSVusR5EXenkhX542Y2WXFDARFxmxQ3L
1387,I,Don Noway,475,394,False,False,False,False,xczebet9JqAyq9uPT88HHFIbSTBRuUbwfJZUIRlkSZEk1sc
1387,I,FUN k3y,390,303,False,True,False,False,LU8swTpWjZVE4gLOlicqHmSu17nD5N7cVKK9s3epq01xBec
1378,I,LFL SUPPKING,998,920,True,True,False,False,LFx5DQci_FDH08s6G8jnCj2PtpMRj_FkmqV8QGlqKOX9WR-h
1366,I,elramir 2,429,339,False,True,False,False,uJqcpQSp9cT8smt1puw--BgrnXcBQIHf8fTGCU_XJC-fBOI
1364,I,be like mike23,445,363,True,False,False,False,ehxaF0bIjxubiea953wzDCAAJUitsUQT9PcrYEEYc06MeUfJ
1354,I,Razørk Activoo,360,283,False,True,False,False,LDUZSa89NBTPuOUcscFrioTvcWaqDvPuHbW2xwNgMrzrF-o
1352,I,FIeshy,545,466,False,True,False,False,q-ySDbXlfPZ0ZPh08wHgfX7tdJ5OGSzDrAzBHvHYzbnecl6RorMlUsylYw
1351,I,Mountain Wolf,304,224,False,True,False,False,dDx52dKhFBSwNwKVZlH21YWg6JN_PkEtH9NUvxoSIJdqIgGB
1343,I,Lathyrus,473,401,False,True,False,False,7hPw7reiBrNOAItizC56LWWU68Uq3uHBVFNGAnWdo9KA9fo
1333,I,FEB1VEN,322,272,True,True,False,False,5iXwxKxeP_hJembaYS8yPi6mLBpneUk7qD8x8oFXjsDcgml1
1326,I,TakeSet sama,426,354,False,True,False,False,cJpYgpGDqi3XD-ag5LWVq_qsjJodqsaTJKxYjC7NyazWED8
1323,I,Puncture Wille,275,199,False,False,False,False,pV-WxpQlL_h71GlqCffcfYqtv_FBHf4kIdcxdc46hfUwceE
1319,I,zhypey,128,75,False,True,False,False,1ln31KewBTq5SIH-e5XpiCx5zXkdMc9BfjEjh7Oyk9mZ2Nr-
1318,I,Kalista,207,119,False,True,False,False,tw1tIjav2Kgh4WJ4VftvLAKltHBvX1oT-fkFDhC4u3RHJUJP
1318,I,VELJA THE MENACE,329,274,False,True,False,False,jL1hmY7utIKRq1WDtVcblA0FUnwaRgyRL4Ez8WF8k6O3wYKU
1317,I,AHaHaCiK,767,692,False,True,False,False,sIQD1lVgmDyAWDyuRzjiaLCoMnpnwGqwHOYMtlZPeZ5cSiI
1310,I,Odoamne,519,449,False,True,False,False,DbLuoqdr8h71TKhQr5p7HjwzS4k8fXZD9gSiE0N8URLtey4
1308,I,OnlySpain,290,219,False,True,False,False,QTVrf3kCy2RUfTk9pnH3uuaTFaOq0nV08uKJVCzBRhN1dw4
1298,I,LiL TommyG,709,629,False,True,False,False,2PvnVfvqojqBsAg6HM_dFTjP0qlryqDlwqbP8uJOzIUFO8Q
1283,I,Skeanz,800,724,False,True,False,False,ythuJpuKM4RW9PIZkdBcQ51eB_SxAQ9qXvfZqkZwd6RtWL-5CGll1U4xIA
1281,I,Voidfiller LFT,129,85,False,True,False,False,hiurcn5wge3D49c609_1SCXlnvszs4uMcrMpcoFvXCVPLxnT
1281,I,Yikeru,309,246,False,True,False,False,c5yTbMYVuCcvIYN_ORN72rq4udF1jbwot2_-X0BwOfptTIqU
1277,I,Finn1,661,593,False,False,False,False,rHHFu6SqA6_qr_8QroUyfApa_2Nj3Yz1XVOeuWOgwSBRleE
1276,I,Jαvier,545,470,False,True,False,False,7pIHzZLMZMMcerOzVE-Gu-H9LOuq8w73HpQumoSRuw38LmY
1275,I,Stor Olle ,114,59,False,False,False,False,WgdI_ITI00fl4zyr_LkGoGJ7mYREnTEq4GG6NeYQigB4Dm8
1273,I,RRubyLOL,514,431,False,True,False,False,FaRP2aUOi2ySQyJIQ_Lxf3YSxkGMcIO-fegVNs7w9IY9GxImeyhnqxaQhQ
1271,I,Kirei sama,447,376,False,True,False,False,nVBC2wEWtaSIblvkh0ap8dA7HSbZcwtrVWeaO1la9SDaDRM
1270,I,fKing Sinerias,223,177,False,True,False,False,cDX0m6ffm79GD5WtwxAictwoe4CbLw6UBkWd4JYDlbqgcRfy
1257,I,BlauBarschBube,380,309,False,True,False,False,gVeqNAJjGeLSS8Otjr79ydA47SZ7to0hL1jtGF1Okaem1Ns
1255,I,Decay0,971,905,False,True,False,False,N6pCh_0MrdKnS8SS827etgeL0BTt1StPvhiFaP9OdS9pAoU
1252,I,gunshotgun,152,102,False,False,False,False,-Yy3Ykcyc4Cw44BVdF1RClxJtep5tLcDH-4AJ-DTabNGIj4
1250,I,Tοαst,774,691,False,True,False,False,v89V9uxT5M4GxQ7UABks12XIbTMmf0z54jQE9UnRx7WrsHya
1240,I,Mr Tickle,346,268,False,True,False,False,DZOUFlT6C610jtJaVa_5glDw3zUXQuDgFK9JUESDWsvy-_8
1238,I,Built,294,219,False,True,False,False,adB-Kmb7GPjSiwkx3TUTwoAxoW2d1x-EX_EL1ovhajbWhHNC
1232,I,RΟYΑL,338,239,False,True,False,False,RR6tycri5655iYnuK431XUgIVpaHjMn_MuC6amBPOc2xiz79
1230,I,Wx Hc9999na,292,258,False,True,False,False,oUhte5LrdPnhgLu2jA6yfLivRN8Y0CAafbhVg_fATGm0X44
1228,I,LORD MERUEM,240,177,True,True,False,False,Reqn7UIh5DMFf0f5nO5TzDBhEQeB94Lm_BE5-MCkqAEmZwKxIk79jYBPPQ
1220,I,DizL1,320,251,False,True,False,False,R3dBpTzzZQGVxnIoEWHp6nZKYnIrQf5CSyhAHpubwiPZPNo
1212,I,Stormaxx,217,151,False,True,False,False,Vf78rFJKJKN3R-S4bT5I842SK_dVovmMt6qkA85BXaN1W-A
1209,I,Agurin,556,491,False,True,False,False,kqRBNHs818GUWCOMfvZ_t-8mmGkKJ2cFRxSwQkYDVD2zJdE
1209,I,HenryEtooMessi,304,229,False,True,False,False,YOv0n9gWpbDTThAYa7VKmqCujoiF3DQQR8qaN_SnUA5R3yM
1207,I,Targamas,505,439,False,True,False,False,j7eHaXxyVYLLNn15JsbCioKFVsmNT4Bze8qevoz_64QkNno
1207,I,olaksfhijdf,591,523,False,True,False,False,Dg9YI5L9gdfXTYnAotyLu75CZZSzrnVB86QZTIAcuXqtclo
1206,I,BSC Coldraa,204,136,False,False,False,False,_azAc2Eh-MrYeRmZv1xC-tTQgG96mvhmF_hQIsCeYeygZx_7
1205,I,zafccp,391,318,False,True,False,False,sF7f7N3yPAiAx0vuysE0BAihH9J2wKrZVTolOCw1Zib-1rzB2Uaj0oc66g
1204,I,Mαster Oogwαy,357,310,False,True,False,False,MbVi_lHI36ojDqdk6oiVKC1WFcGmnGwT7_8SMcIGdqtYKkA2UuY5fTT6mA
1201,I,UNFORGIVEΝ,337,304,False,True,False,False,zo8fREfLn8r23jpfJ1dVNRb580BI1dSjfGaJ1Kuwrm9h_CQ
1201,I,GIGAMENTAL69,452,392,True,True,False,False,pZXMJXEtWV3nE1-tmh97E4fFRHT8Y634z9kK0nAxuBvn96R-
1201,I,Keduii R1,809,743,False,False,False,False,141sup70sjwGNfdWk5c17CiD0DsfLC-gEFOylMv_EEP4688
1200,I,Thorga,825,758,False,True,False,False,hTkHFiqpiy3qCU0QBR3UqJDHwvcuOzhSLDGeEOxOpCPcGp1e
