leaguePoints,rank,summonerName,wins,losses,hotStreak,veteran,freshBlood,inactive,summonerId,puuid
1568,I,BiIly Butcher,760,668,True,True,False,False,xYeTK4KTpN3drkMQRQ8Wm1CWxLqDpXeBxU4JXuYmZ9WQcKU,HnmbJaflh4CpOjhGrYpZqeH92bOEhm87X-ZoJ8jIaiTh8-Rl5InuO7FIkhCRvu_KHrXmNYrGtyz0sA
1533,I,RGE Malrang,363,289,False,True,False,False,L1lRR75lmV8OsHgk0f1iadLaLVJGNtvJSmn-Xj2U8AefV0Xk9ZkQYcAx5w,-XGtUJcPNCcYGqrh8Ya_blbnsd2HRIPjT15pfxmv2d6jXr4wroAMf8pwIN2-Q_88mwTLC_YBAtEp1A
1514,I,SPKTRA,383,301,False,True,False,False,sX1uX5yLIxD_2RFN72Eq9FsEQVAUyEIS8U_cB_LE5bU0RX1h,KafOzGkc4qJ5rbDwcmjFQQ4GAVWZcV1-aQHkJ37S7NvnPxcD8hq7_rrbNrEG9cYr68HyVI1EBSzBEw
1513,I,John Wick IV,161,95,False,True,False,False,Y5kQu60P6Fh3ovdp5Wv_zgf4TWekgfp1hUCxgErkhWZB_eci,1A5PIaOEHcJTawVo4-AwLWSh2ekb56nyJXJVBFTvXYZfUluZzGVySeeVzoya0Wb7nAzQzDq5N8aBBw
1464,I,FaithXD,206,151,True,True,False,False,xqPSXJoIcYTLDtm3FSVusR5EXenkhX542Y2WXFDARFxmxQ3L,-kusMUvr9Naostsph18XqhwPKVe8GotHc1PQaT1zG1TtUdF0Ph-720Yvl4yTZqtDt9vxKpg0r0_-iQ
1452,I,supaaaaaaaaaaaaa,683,598,False,True,False,False,H1A6RGf4ylCGNGd1mAZW7rVMh5HEA_Qi04CZbBYQM5vwa8M,sp_E3oH4nPv3qwxQcfl1R7hnm_71f8YKvNRimI3m4zpiXJirALGaGI4iPBTiDInUegnnoUuP4BtuVw
1438,I,ViV SkewMond,420,336,False,True,False,False,_cWSRjB_jQpiyVqYluEfYSxzrRHkRakoS9Wa4mFz8G2PIfo,kDq_EKKVMFuCVT_gkF6DBIl9kPXy0Re2cxWaF8Jnz-YmxALpQmQFv42mDWA29lf7kKxHFKcirMbHKA
1420,I,FUN k3y,395,306,False,True,False,False,LU8swTpWjZVE4gLOlicqHmSu17nD5N7cVKK9s3epq01xBec,0R5T0LJYOT3ubzu-4PPuNfwpE_Crq4-Ph_c460shKFMQQ6PMLURNlNFtRFSoMlz5BvzHgRpk7p822w
1415,I,Ttv Lathyrus,239,156,False,True,False,False,gJqchVCIIljZ6KD5SZWjm5z-csrmnyEv4YwbnodPmUQHljB7,rujE0yNHTMwuz9iW71uR30ro82rwRAO6o8jItwoJC_SWgWflYtI2O8bZTuyKuwJbZHpBASZSZUxe9w
1414,I,FIeshy,556,474,False,True,False,False,q-ySDbXlfPZ0ZPh08wHgfX7tdJ5OGSzDrAzBHvHYzbnecl6RorMlUsylYw,h5fkIH3nIMCtXCN71vtPkVipd7VctQ7DU1y2ylkzuI1JlbXIUUfMM6rO7mGNRq2cwIzex0Mymhg0Fw
1413,I,fKing Sinerias,235,180,True,True,False,False,cDX0m6ffm79GD5WtwxAictwoe4CbLw6UBkWd4JYDlbqgcRfy,4FN6V44eM9VIpHlPD311zDWgPYBTRuLRlTmMAW4PXTdKOn0Px4nDArrVGgbry2wIX_taLF30UD8ofQ
1406,I,elramir 2,437,345,True,True,False,False,uJqcpQSp9cT8smt1puw--BgrnXcBQIHf8fTGCU_XJC-fBOI,uKPpooy68Nhb14qx9Y1cimv4iXdTxaY0TN1OzQYKzFgdT19ui9cJmXmvL8EGN9HbrQMrx--5vk5ncA
1394,I,Mountain Wolf,316,232,False,True,False,False,dDx52dKhFBSwNwKVZlH21YWg6JN_PkEtH9NUvxoSIJdqIgGB,_mtWtBBJ2r0m12_tZ2hn4UQ9ioM6aIUR4jl5_juKXkfEVjfFUA1g2R1h25c7WUXxT_5tDPKmaHukRg
